date,sub_index1,sub_index2,sub_index3,sub_index4,sub_index5,sub_index6,sub_index7,sent_norm_w,sent_strength_w,sent_std,neg_z,effective_n,heat,kospi_close,log_return,log_return_t+1,neg_z_inv,sent_std_inv,sent_energy,sent_norm_ma5,neg_z_ma5,sub_index1_lag1,sub_index1_lag2,sub_index2_lag1,sub_index2_lag2,sub_index3_lag1,sub_index3_lag2,sub_index4_lag1,sub_index4_lag2,sub_index5_lag1,sub_index5_lag2,sub_index6_lag1,sub_index6_lag2,sub_index7_lag1,sub_index7_lag2,dayofweek,month,target_reg,K_FGI,KFGI
2022-03-08,10.7167839,56.92621649811799,35.38458607883916,49.14636975613671,10.045168590217624,37.6051976895134,60.07021154954311,-0.7086856475572114,0.1140052373412855,0.2129291568720555,0.1431147840776585,70.01028770407717,0.044135683929668,2622.4,-0.0109639284677651,0.0218462613724428,-0.1431147840776585,-0.2129291568720555,-0.0807938754501225,-0.620482244731308,-0.1193338815589069,13.57924583,20.16297434,59.73243843816606,65.14443789397306,42.00981277557817,47.07770147187328,48.29778267857465,2.61412946089387,13.905522708651477,18.054527561820212,38.44799433334017,48.79542884380872,63.12318914798138,71.21937680772231,1,3,0.0218462613724428,62.103911906165635,37.896088093834365
2022-03-10,19.00017194,62.93954922679244,48.28163041234748,50.404805056148824,9.44070429826085,43.00036887217944,57.80302552980004,-0.9268471834972956,0.1037418688744614,0.2594937024756151,0.1732972545301802,87.37180228294156,-0.0029493241047919,2680.32,0.0218462613724428,-0.0071289803197833,-0.1732972545301802,-0.2594937024756151,-0.09615285897704029,-0.7077191378875457,0.0827524028723426,10.7167839,13.57924583,56.92621649811799,59.73243843816606,35.38458607883916,42.00981277557817,49.14636975613671,48.29778267857465,10.045168590217624,13.905522708651477,37.6051976895134,38.44799433334017,60.07021154954311,63.12318914798138,3,3,-0.0071289803197833,71.19555400863544,28.80444599136456
2022-03-11,18.15943391,62.33821595392498,59.018935802242645,0.0,8.286809885713337,37.24449219609989,55.57367376232932,-0.9165051592756368,0.2642881073201935,0.381533175462429,3.659725440485475,64.08301983208386,-1.873442970943214,2661.28,-0.0071289803197833,-0.0058904282487262,-3.659725440485475,-0.381533175462429,-0.24222141389415053,-0.7199282339582507,0.9899818385545878,19.00017194,10.7167839,62.93954922679244,56.92621649811799,48.28163041234748,35.38458607883916,50.404805056148824,49.14636975613671,9.44070429826085,10.045168590217624,43.00036887217944,37.6051976895134,57.80302552980004,60.07021154954311,4,3,-0.0058904282487262,54.2805219809356,45.7194780190644
2022-03-14,18.44599357,58.329327468142026,61.135996879269904,26.474293249479636,8.202150416085491,35.0189228668263,54.490931513119655,-0.8401056948946228,0.1398785643875805,0.3164173489336886,0.741979916387791,98.49692245152546,0.1108119871735594,2645.65,-0.0058904282487262,-0.0091586650165229,-0.741979916387791,-0.3164173489336886,-0.11751277853569056,-0.787528001199709,1.0369366131659885,18.15943391,19.00017194,62.33821595392498,62.93954922679244,59.018935802242645,48.28163041234748,0.0,50.404805056148824,8.286809885713337,9.44070429826085,37.24449219609989,43.00036887217944,55.57367376232932,57.80302552980004,0,3,-0.0091586650165229,74.07634932059699,25.92365067940301
2022-03-15,15.42626143,58.529771892431185,58.18826408207835,28.860124708674658,9.62938785146617,33.94205086447313,55.39721822526354,-0.6496245822899321,0.1100910235208653,0.2751713249094051,-0.1360184183130471,103.67050212265542,-0.0649114922852894,2621.53,-0.0091586650165229,0.0142784904089641,0.1360184183130471,-0.2751713249094051,-0.07151783516861322,-0.8083536535029398,0.9164197954336115,18.44599357,18.15943391,58.329327468142026,62.33821595392498,61.135996879269904,59.018935802242645,26.474293249479636,0.0,8.202150416085491,8.286809885713337,35.0189228668263,37.24449219609989,54.490931513119655,55.57367376232932,1,3,0.0142784904089641,69.57270750078779,30.427292499212214
2022-03-16,20.97343224,65.54532674255135,72.96383930167045,41.65832743420296,14.010148653803018,42.33555229614851,52.24187570162722,-0.8021607276702019,0.1280227610340994,0.2817663679805976,0.4062874044319136,87.45224058809663,0.0021555497626017,2659.23,0.0142784904089641,0.0131797624444098,-0.4062874044319136,-0.2817663679805976,-0.10269483114946154,-0.8270486695255379,0.9690543195044625,15.42626143,18.44599357,58.529771892431185,58.329327468142026,58.18826408207835,61.135996879269904,28.860124708674658,26.474293249479636,9.62938785146617,8.202150416085491,33.94205086447313,35.0189228668263,55.39721822526354,54.490931513119655,2,3,0.0131797624444098,70.80408985513145,29.19591014486855
2022-03-17,26.76588377,66.14666001541879,71.78660855863382,32.790483239019416,17.24447141412452,47.66677577185333,52.41261549814589,-0.4807573240478615,0.1322980457372746,0.3007987675970849,-0.0205729452464804,120.61452436008368,0.1864916902407195,2694.51,0.0131797624444098,0.0046320292093362,0.0205729452464804,-0.3007987675970849,-0.06360325444541373,-0.737830697635651,0.9302802795491305,20.97343224,15.42626143,65.54532674255135,58.529771892431185,72.96383930167045,58.18826408207835,41.65832743420296,28.860124708674658,14.010148653803018,9.62938785146617,42.33555229614851,33.94205086447313,52.24187570162722,55.39721822526354,3,3,0.0046320292093362,64.38577158736321,35.61422841263679
2022-03-18,28.04730652,66.54754886399708,72.57886215826721,36.9367966015911,20.091653904784735,43.69290930616763,52.17666631397165,-0.9541331692703816,0.0543175603765236,0.2273088230226979,-1.0456482741769737,61.40289637341544,0.9467886964281604,2707.02,0.0046320292093362,-0.0077766858888077,1.0456482741769737,-0.2273088230226979,-0.05182618602908776,-0.7453562996345999,-0.010794463383359298,26.76588377,20.97343224,66.14666001541879,65.54532674255135,71.78660855863382,72.96383930167045,32.790483239019416,41.65832743420296,17.24447141412452,14.010148653803018,47.66677577185333,42.33555229614851,52.41261549814589,52.24187570162722,4,3,-0.0077766858888077,56.05079715858546,43.94920284141454
2022-03-21,24.89079087,66.34710443970795,72.93042941191361,37.342616808042294,22.96915108734279,39.60343944569145,52.21612715201358,-0.4921987096420747,0.1866612698449372,0.3555590881395004,0.9575447452566728,69.91433616157678,-0.6248591433666674,2686.05,-0.0077766858888077,0.0088769219228685,-0.9575447452566728,-0.3555590881395004,-0.0918744361578292,-0.6757749025840903,0.032318502390417045,28.04730652,26.76588377,66.54754886399708,66.14666001541879,72.57886215826721,71.78660855863382,36.9367966015911,32.790483239019416,20.091653904784735,17.24447141412452,43.69290930616763,47.66677577185333,52.17666631397165,52.41261549814589,0,3,0.0088769219228685,72.99765960211079,27.002340397889213
2022-03-22,28.26037446,66.74799328828624,75.46439427673786,39.18468290549835,29.56715603608239,43.23687884794541,52.97573724056128,-0.9383964942162604,0.0826816363383831,0.1691563753893112,-0.4107502894086021,46.87170226450424,0.9400495653926676,2710.0,0.0088769219228685,0.0092010823508781,0.4107502894086021,-0.1691563753893112,-0.07758815767600247,-0.733529284969356,-0.022627871828693958,24.89079087,28.04730652,66.34710443970795,66.54754886399708,72.93042941191361,72.57886215826721,37.342616808042294,36.9367966015911,22.96915108734279,20.091653904784735,39.60343944569145,43.69290930616763,52.21612715201358,52.17666631397165,1,3,0.0092010823508781,35.65788688238465,64.34211311761536
